Algorithm,Input,Output,Packet
singleWire,1,1,37667
singleWire,1,2,23184
singleWire,1,3,66784
singleWire,1,4,37784
singleWire,1,5,37664
singleWire,1,6,76678
singleWire,1,7,80000
singleWire,1,8,99999
singleWire,2,1,37667
singleWire,2,2,23184
singleWire,2,3,66784
singleWire,2,4,37784
singleWire,2,5,37664
singleWire,2,6,76678
singleWire,2,7,80000
singleWire,2,8,99999
singleWire,3,1,37667
singleWire,3,2,23184
singleWire,3,3,66784
singleWire,3,4,37784
singleWire,3,5,37664
singleWire,3,6,76678
singleWire,3,7,80000
singleWire,3,8,99999
singleWire,4,1,37667
singleWire,4,2,23184
singleWire,4,3,66784
singleWire,4,4,37784
singleWire,4,5,37664
singleWire,4,6,76678
singleWire,4,7,80000
singleWire,4,8,99999
singleWire,5,1,37667
singleWire,5,2,23184
singleWire,5,3,66784
singleWire,5,4,37784
singleWire,5,5,37664
singleWire,5,6,76678
singleWire,5,7,80000
singleWire,5,8,99999
singleWire,6,1,37667
singleWire,6,2,23184
singleWire,6,3,66784
singleWire,6,4,37784
singleWire,6,5,37664
singleWire,6,6,76678
singleWire,6,7,80000
singleWire,6,8,99999
singleWire,7,1,37667
singleWire,7,2,23184
singleWire,7,3,66784
singleWire,7,4,37784
singleWire,7,5,37664
singleWire,7,6,76678
singleWire,7,7,80000
singleWire,7,8,99999
singleWire,8,1,37667
singleWire,8,2,23184
singleWire,8,3,66784
singleWire,8,4,37784
singleWire,8,5,37664
singleWire,8,6,76678
singleWire,8,7,80000
singleWire,8,8,99999


