Algorithm,Input,Output,Packet
0,1,1,10000
0,1,2,20000
0,1,3,30000
0,1,4,40000
0,1,5,50000
0,1,6,60000
0,1,7,70000
0,1,8,80000
0,2,1,10000
0,2,2,20000
0,2,3,30000
0,2,4,40000
0,2,5,50000
0,2,6,60000
0,2,7,70000
0,2,8,80000
0,3,1,10000
0,3,2,20000
0,3,3,30000
0,3,4,40000
0,3,5,50000
0,3,6,60000
0,3,7,70000
0,3,8,80000
0,4,1,10000
0,4,2,20000
0,4,3,30000
0,4,4,40000
0,4,5,50000
0,4,6,60000
0,4,7,70000
0,4,8,80000
0,5,1,10000
0,5,2,20000
0,5,3,30000
0,5,4,40000
0,5,5,50000
0,5,6,60000
0,5,7,70000
0,5,8,80000
0,6,1,10000
0,6,2,20000
0,6,3,30000
0,6,4,40000
0,6,5,50000
0,6,6,60000
0,6,7,70000
0,6,8,80000
0,7,1,10000
0,7,2,20000
0,7,3,30000
0,7,4,40000
0,7,5,50000
0,7,6,60000
0,7,7,70000
0,7,8,80000
0,8,1,10000
0,8,2,20000
0,8,3,30000
0,8,4,40000
0,8,5,50000
0,8,6,60000
0,8,7,70000
0,8,8,80000
